Time [s],PIN 0,TX
1.409921417,1,0
1.409984667,0,0
1.410141542,0,1
1.410610458,0,0
1.411049833,1,0
1.411113042,0,0
1.411270417,0,1
1.411739292,0,0
1.412178250,1,0
1.412241500,0,0
1.412398125,0,1
1.412866875,0,0
1.413306708,1,0
1.413369958,0,0
1.413526875,0,1
1.413995917,0,0
1.414435208,1,0
1.414498458,0,0
1.414655292,0,1
1.415124333,0,0
1.415563625,1,0
1.415626833,0,0
1.415783833,0,1
1.416252708,0,0
1.416692042,1,0
1.416755292,0,0
1.416912167,0,1
1.417381083,0,0
1.417820500,1,0
1.417883708,0,0
1.418040750,0,1
1.418509458,0,0
1.418948875,1,0
1.419012125,0,0
1.419169125,0,1
1.419638000,0,0
1.420077458,1,0
1.420140667,0,0
1.420297667,0,1
1.420766750,0,0
1.421205833,1,0
1.421269083,0,0
1.421426083,0,1
1.421895250,0,0
1.422334250,1,0
1.422397500,0,0
1.422554333,0,1
1.423023417,0,0
1.423462792,1,0
1.423526000,0,0
1.423682792,0,1
1.424151083,0,0
1.424591125,1,0
1.424654333,0,0
1.424811500,0,1
1.425280792,0,0
1.425719583,1,0
1.425782833,0,0
1.425939583,0,1
1.426408250,0,0
1.426848083,1,0
1.426911333,0,0
1.427068292,0,1
1.427537042,0,0
1.427976542,1,0
1.428039792,0,0
1.428196583,0,1
1.428665417,0,0
1.429104958,1,0
1.429168208,0,0
1.429325167,0,1
1.429794708,0,0
1.430233375,1,0
1.430296625,0,0
1.430453625,0,1
1.430922917,0,0
1.431361792,1,0
1.431425042,0,0
1.431581875,0,1
1.432050792,0,0
1.432490292,1,0
1.432553583,0,0
1.432710417,0,1
1.433179500,0,0
1.433618708,1,0
1.433681917,0,0
1.433838750,0,1
1.434307875,0,0
1.434747208,1,0
1.434810458,0,0
1.434967167,0,1
1.435436333,0,0
1.435875625,1,0
1.435938875,0,0
1.436095875,0,1
1.436564583,0,0
1.437004125,1,0
1.437067375,0,0
1.437224250,0,1
1.437693000,0,0
1.438132625,1,0
1.438195833,0,0
1.438352667,0,1
1.438822042,0,0
1.439261000,1,0
1.439324250,0,0
