Time [s],PIN 0,TX
1.562791917,0,0
1.564264083,1,0
1.564338292,0,0
1.564494667,0,1
1.565135583,0,0
1.566607708,1,0
1.566681917,0,0
1.566838375,0,1
1.567479333,0,0
1.568951417,1,0
1.569025625,0,0
1.569185333,0,1
1.569826375,0,0
1.571295125,1,0
1.571369333,0,0
1.571525958,0,1
1.572166917,0,0
1.573638708,1,0
1.573712917,0,0
1.573869208,0,1
1.574510125,0,0
1.575982500,1,0
1.576056708,0,0
1.576212833,0,1
1.576853500,0,0
1.578326167,1,0
1.578400375,0,0
1.578556833,0,1
1.579197750,0,0
1.580669833,1,0
1.580744042,0,0
1.580900250,0,1
1.581540958,0,0
1.583013625,1,0
1.583087833,0,0
1.583247500,0,1
1.583888500,0,0
1.585357333,1,0
1.585431542,0,0
1.585587833,0,1
1.586228875,0,0
1.587700917,1,0
1.587775167,0,0
1.587931167,0,1
1.588572125,0,0
1.590044708,1,0
1.590118917,0,0
1.590278417,0,1
1.590919458,0,0
1.592388333,1,0
1.592462583,0,0
1.592618875,0,1
1.593259917,0,0
1.594732000,1,0
1.594806208,0,0
1.594962458,0,1
1.595603417,0,0
1.597075792,1,0
1.597150042,0,0
1.597306208,0,1
1.597947083,0,0
1.599419458,1,0
1.599493667,0,0
1.599650083,0,1
1.600291167,0,0
1.601763083,1,0
1.601837292,0,0
1.601993625,0,1
1.602634500,0,0
1.604106833,1,0
1.604181042,0,0
1.604337292,0,1
1.604978250,0,0
1.606450458,1,0
1.606524667,0,0
1.606680833,0,1
1.607322042,0,0
1.608794292,1,0
1.608868542,0,0
1.609024750,0,1
1.609665875,0,0
1.611137875,1,0
1.611212083,0,0
1.611368542,0,1
1.612009500,0,0
1.613481625,1,0
1.613555833,0,0
1.613715750,0,1
1.614356750,0,0
1.615825292,1,0
1.615899542,0,0
1.616055750,0,1
1.616696708,0,0
1.618168958,1,0
1.618243208,0,0
1.618399333,0,1
1.619040333,0,0
1.620512667,1,0
1.620586917,0,0
1.620743167,0,1
1.621383833,0,0
1.622856458,1,0
1.622930708,0,0
1.623087167,0,1
1.623728042,0,0
1.625200083,1,0
1.625274292,0,0
1.625430667,0,1
1.626071500,0,0
1.627543750,1,0
1.627617958,0,0
1.627774083,0,1
1.628414750,0,0
1.629887500,1,0
1.629961708,0,0
1.630118000,0,1
1.630758917,0,0
1.632231208,1,0
1.632305417,0,0
1.632461667,0,1
1.633102625,0,0
1.634574917,1,0
1.634649125,0,0
1.634805250,0,1
1.635446208,0,0
1.636918625,1,0
1.636992833,0,0
1.637149125,0,1
1.637790042,0,0
1.639262292,1,0
1.639336500,0,0
1.639492708,0,1
1.640133458,0,0
1.641606042,1,0
1.641680250,0,0
1.641836708,0,1
1.642477417,0,0
1.643949667,1,0
1.644023875,0,0
1.644180083,0,1
1.644821250,0,0
1.646293375,1,0
1.646367625,0,0
1.646523833,0,1
1.647164958,0,0
1.648637000,1,0
1.648711208,0,0
1.648867417,0,1
1.649508500,0,0
1.650980708,1,0
1.651054917,0,0
1.651211250,0,1
1.651852125,0,0
1.653324458,1,0
1.653398667,0,0
1.653555042,0,1
1.654196167,0,0
1.655668167,1,0
1.655742375,0,0
1.655898792,0,1
1.656539708,0,0
1.658011833,1,0
1.658086042,0,0
1.658242375,0,1
1.658883417,0,0
1.660355542,1,0
1.660429750,0,0
1.660585917,0,1
1.661226583,0,0
1.662699292,1,0
1.662773500,0,0
1.662929875,0,1
1.663570833,0,0
1.665042917,1,0
